23,7,2,WON
9,29,1,WON
26,16,3,WON
3,6,1,WON
19,8,1,WON
5,21,1,WON
25,1,1,WON
15,13,1,WON
28,10,2,WON
27,4,2,WON
20,26,2,WON
2,22,1,WON
9,24,3,WON
11,27,2,WON
5,17,1,WON
16,14,1,WON
0,12,1,WON
23,29,3,WON
21,13,2,WON
7,18,1,WON
2,15,2,WON
28,25,1,WON
9,19,2,WON
3,4,3,WON
24,6,1,WON
26,20,3,WON
27,23,1,WON
0,5,2,WON
20,8,2,WON
11,10,3,WON
15,18,2,WON
14,3,1,WON
25,6,3,WON
4,16,1,WON
22,21,3,WON
13,29,1,WON
28,1,1,WON
11,12,1,WON
22,27,2,WON
0,13,1,WON
9,21,2,WON
2,10,2,WON
5,7,2,WON
17,24,2,WON
8,25,1,WON
23,28,2,WON
19,15,2,WON
20,1,3,WON
6,26,2,WON
3,21,3,WON
14,11,1,WON
17,24,1,WON
4,10,3,WON
12,16,2,WON
29,15,2,WON
25,27,2,WON
6,8,2,WON
26,9,1,WON
18,29,2,WON
23,1,1,WON
0,7,1,WON
19,13,2,WON
2,20,3,WON
22,5,1,WON
23,6,2,WON
9,15,1,WON
25,12,3,WON
4,28,1,WON
3,16,3,WON
26,22,1,WON
14,10,1,WON
2,27,2,WON
13,8,2,WON
19,21,2,WON
4,1,2,WON
5,3,1,WON
7,29,3,WON
14,0,1,WON
6,9,1,WON
7,8,3,WON
15,21,3,WON
17,13,1,WON
22,19,1,WON
28,16,1,WON
20,18,2,WON
12,24,1,WON
25,26,1,WON
23,10,3,WON
9,25,3,WON
1,2,1,WON
11,5,3,WON
23,27,3,WON
13,28,1,WON
15,12,3,WON
17,14,1,WON
19,0,1,WON
20,16,1,WON
22,18,2,WON
24,21,2,WON
10,4,1,WON
27,4,2,WON
6,16,2,WON
23,12,3,WON
2,9,1,WON
11,18,3,WON
20,3,2,WON
1,26,3,WON
7,19,3,WON
14,29,3,WON
0,7,3,WON
22,8,3,WON
13,15,3,WON
21,25,2,WON
28,5,3,WON
10,24,1,WON
11,6,2,WON
3,5,1,WON
2,28,2,WON
1,20,3,WON
17,0,2,WON
16,13,2,WON
12,19,1,WON
22,29,3,WON
26,14,3,WON
27,7,3,WON
23,29,3,WON
21,25,1,WON
4,9,1,WON
11,27,2,WON
0,21,2,WON
6,5,1,WON
18,24,2,WON
9,13,1,WON
3,10,3,WON
19,14,2,WON
22,1,2,WON
28,7,1,WON
8,16,1,WON
12,15,2,WON
23,17,2,WON
25,26,3,WON
4,8,3,WON
1,27,3,WON
20,9,1,WON
18,25,1,WON
3,0,3,WON
21,23,2,WON
2,15,2,WON
7,17,2,WON
28,11,1,WON
5,13,2,WON
19,16,3,WON
22,10,3,WON
24,29,2,WON
0,6,1,WON
14,8,2,WON
1,11,1,WON
4,19,2,WON
20,10,2,WON
26,21,3,WON
27,18,2,WON
9,13,3,WON
3,12,1,WON
5,14,2,WON
2,4,1,WON
7,25,1,WON
16,15,3,WON
24,22,1,WON
29,17,1,WON
23,16,3,WON
28,8,2,WON
11,24,3,WON
21,17,1,WON
0,25,2,WON
20,13,2,WON
26,12,3,WON
23,27,3,WON
2,5,1,WON
4,29,3,WON
26,0,1,WON
17,8,1,WON
11,20,1,WON
1,18,1,WON
3,13,3,WON
14,29,2,WON
16,7,2,WON
28,25,2,WON
19,27,1,WON
5,24,2,WON
22,12,2,WON
21,10,3,WON
9,15,2,WON
6,12,1,WON
10,0,1,WON
23,26,1,WON
8,18,1,WON
11,29,3,WON
13,24,3,WON
16,21,3,WON
2,14,2,WON
1,19,2,WON
7,25,1,WON
28,17,2,WON
6,5,1,WON
4,20,1,WON
22,15,2,WON
27,17,2,WON
18,21,2,WON
14,24,1,WON
23,7,2,WON
9,12,3,WON
10,25,2,WON
27,8,3,WON
13,29,2,WON
2,6,3,WON
1,3,1,WON
0,15,1,WON
16,19,1,WON
9,5,2,WON
22,4,2,WON
26,20,2,WON
19,23,2,WON
21,0,2,WON
25,28,2,WON
4,20,2,WON
29,12,1,WON
10,7,1,WON
8,1,2,WON
3,17,3,WON
16,5,1,WON
22,13,1,WON
27,28,1,WON
6,4,1,WON
11,16,2,WON
21,18,2,WON
9,14,1,WON
23,15,3,WON
25,17,1,WON
19,3,2,WON
22,5,3,WON
1,29,3,WON
7,24,1,WON
26,13,3,WON
10,8,1,WON
2,9,3,WON
0,20,2,WON
27,0,1,WON
26,6,2,WON
23,18,1,WON
3,20,1,WON
21,7,1,WON
1,15,3,WON
28,10,2,WON
19,17,3,WON
5,14,2,WON
4,22,2,WON
11,16,2,WON
2,12,2,WON
29,8,2,WON
23,24,2,WON
13,9,2,WON
14,22,1,WON
7,19,1,WON
26,15,3,WON
0,18,2,WON
6,21,2,WON
3,27,1,WON
11,2,1,WON
1,17,2,WON
25,8,3,WON
4,9,2,WON
16,12,2,WON
20,5,3,WON
24,28,1,WON
29,10,1,WON
20,27,2,WON
0,19,3,WON
23,5,1,WON
8,10,2,WON
22,11,2,WON
16,3,1,WON
12,2,1,WON
17,15,1,WON
25,24,2,WON
28,7,1,WON
13,4,3,WON
29,18,1,WON
14,26,1,WON
6,3,2,WON
11,9,2,WON
18,17,2,WON
13,2,2,WON
21,29,3,WON
7,1,1,WON
5,15,2,WON
25,19,1,WON
20,16,3,WON
22,14,1,WON
8,24,2,WON
28,10,2,WON
23,0,3,WON
4,12,2,WON
0,29,3,WON
6,5,2,WON
23,8,2,WON
9,14,2,WON
18,7,2,WON
21,27,2,WON
1,10,2,WON
25,17,3,WON
19,24,1,WON
4,2,2,WON
22,11,2,WON
26,16,1,WON
11,15,3,WON
3,14,3,WON
7,8,2,WON
20,12,2,WON
29,27,3,WON
9,5,3,WON
16,13,1,WON
25,21,1,WON
22,2,2,WON
1,0,3,WON
23,28,1,WON
24,17,2,WON
26,6,3,WON
18,10,2,WON
1,27,2,WON
12,6,2,WON
11,13,3,WON
8,18,2,WON
9,3,2,WON
7,24,2,WON
10,17,1,WON
28,19,2,WON
5,15,2,WON
22,16,2,WON
29,0,1,WON
2,20,2,WON
23,25,2,WON
4,26,2,WON
0,25,2,WON
23,17,1,WON
8,29,2,WON
9,6,3,WON
13,4,3,WON
14,26,2,WON
3,15,3,WON
28,21,3,WON
18,19,1,WON
5,20,1,WON
2,16,2,WON
7,22,1,WON
12,11,1,WON
1,24,3,WON
10,27,2,WON
