271107020,2007-11-07,PHI,94,CHA,63,49-32,33-72,23-75,45.8,30.7,5-11,0-13,45.5,0.0,23-32,17-23,71.9,73.9,65,75,4,11,16,18,45,46,18,16,17,5,7,3,42,58,34,13,32,4,-1,-1,22,21,2,0,0,0
271107022,2007-11-07,POR,93,NO,90,44-49,35-86,34-87,40.7,39.1,5-15,3-12,33.3,25.0,18-24,19-22,75.0,86.4,69,72,12,6,12,16,45,50,23,16,7,7,1,3,26,24,14,12,8,16,-1,-1,22,20,0,4,0,0
271107024,2007-11-07,SA,88,MIA,78,39-38,34-71,31-72,47.9,43.1,7-26,4-13,26.9,30.8,13-21,12-21,61.9,57.1,59,51,9,11,8,7,42,33,21,20,6,9,3,2,30,28,9,15,15,12,-1,-1,17,19,0,0,0,0
271107025,2007-11-07,SEA,98,MEM,105,57-49,39-85,35-93,45.9,37.6,3-12,10-25,25.0,40.0,17-19,25-32,89.5,78.1,62,85,4,11,13,21,45,53,18,18,10,5,9,5,38,36,20,26,25,13,-1,-1,29,16,0,0,0,0
271107026,2007-11-07,UTAH,103,CLE,101,52-48,34-74,37-85,45.9,43.5,1-6,8-20,16.7,40.0,34-40,19-29,85.0,65.5,58,70,6,8,9,15,43,47,24,20,12,12,6,7,36,38,29,14,16,17,-1,-1,26,28,1,0,0,0
271107028,2007-11-07,TOR,96,ORL,105,47-52,34-89,38-76,38.2,50.0,6-20,12-31,30.0,38.7,22-26,17-22,84.6,77.3,56,65,3,7,12,7,41,51,17,25,7,2,0,5,16,34,23,10,15,6,-1,-1,22,19,1,1,0,0
271108004,2007-11-08,CHI,97,DET,93,51-45,39-85,32-72,45.9,44.4,1-9,6-18,11.1,33.3,18-27,23-30,66.7,76.7,72,52,10,9,15,7,47,36,28,17,9,6,2,2,30,34,19,11,2,13,-1,-1,21,24,1,2,0,0
271108009,2007-11-08,GS,115,DAL,120,61-57,44-89,42-84,49.4,50.0,11-25,10-24,44.0,41.7,16-30,26-30,53.3,86.7,58,65,12,6,8,10,38,49,23,25,4,1,5,5,14,26,10,10,22,11,-1,-1,23,29,3,1,0,0
271108017,2007-11-08,NJ,87,WSH,85,36-41,28-72,29-73,38.9,39.7,4-22,5-18,18.2,27.8,27-32,22-26,84.4,84.6,61,52,14,7,8,8,39,37,23,16,5,9,5,5,32,30,20,14,7,12,-1,-1,26,25,0,1,0,0
271109002,2007-11-09,BOS,106,ATL,83,55-41,41-68,30-70,60.3,42.9,6-10,5-11,60.0,45.5,18-25,18-25,72.0,72.0,52,45,5,8,8,8,39,29,30,17,8,9,6,6,36,38,20,21,10,19,-1,-1,20,23,3,2,0,0
271109003,2007-11-09,NO,85,SA,97,45-52,35-81,40-77,43.2,51.9,4-15,4-15,26.7,26.7,11-17,13-18,64.7,72.2,58,52,12,3,9,7,37,42,18,19,8,6,3,6,18,20,11,10,13,16,-1,-1,15,17,0,0,0,0
