calculate_winner,calculate_winner_range,calculate_home_wins_percentage_home,calculate_away_wins_percentage_away,calculate_wins_percentage_overall_home,calculate_wins_percentage_overall_away,calculate_average_home_points_home,calculate_average_away_points_away,points_in_paint_home,points_in_paint_away,average_points_home,average_points_away,calculate_average_home_allowed_points_home,calculate_average_away_allowed_points_away,average_fouls_home,average_fouls_away,fast_break_points_home,fast_break_points_away,average_steals_home,average_steals_away,average_blocks_home,average_blocks_away,average_technical_fouls_home,average_technical_fouls_away,consecutive_away_games_home,consecutive_away_games_away,average_possessions_home,average_possessions_away,average_home_possessions_home,average_away_possessions_away,home_offensive_rating_home,away_offensive_rating_away
270205011,0,-2,0.68,0.22,0.55,0.46,96.77,102.22,11.96,20.75,96.38,105.25,91.82,112.61,23.11,22.79,18.34,20.58,7.68,8.88,6.00,5.94,1.06,0.79,1,4,96.66,102.30,96.17,102.96,100.62,99.28
241107028,1,1,1.00,1.00,1.00,1.00,98.00,78.00,5.00,6.00,98.00,86.00,88.50,75.00,18.50,16.00,13.50,14.00,7.00,10.00,4.00,10.00,1.00,0.50,0,0,91.95,88.34,91.95,88.60,106.58,88.04
270205014,1,3,0.55,0.35,0.47,0.38,93.68,95.96,10.15,8.94,96.36,95.15,93.91,102.43,22.04,24.72,15.62,16.02,6.85,7.30,5.89,5.30,1.38,1.06,1,0,94.95,96.92,92.70,98.09,101.06,97.83
291111002,1,3,0.75,0.33,0.88,0.43,102.50,95.00,13.12,12.71,98.50,100.57,86.50,101.00,20.00,23.57,17.12,16.00,10.00,6.00,5.38,5.00,1.50,0.29,1,1,92.55,97.34,92.66,98.92,110.62,96.04
270205020,1,1,0.37,0.39,0.31,0.46,95.11,96.04,13.58,13.19,95.21,97.60,97.37,98.35,21.06,23.00,17.73,17.29,7.67,6.54,5.08,3.19,0.67,1.65,0,0,95.33,95.09,94.71,94.42,100.42,101.72
311225018,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
270205023,1,1,0.54,0.32,0.42,0.45,103.62,90.09,10.98,10.85,100.07,90.53,99.46,93.82,21.98,20.72,19.53,14.87,8.16,6.19,3.33,4.11,0.93,1.32,0,1,98.31,93.30,98.34,94.20,105.37,95.64
291111008,1,3,0.67,0.00,0.43,0.43,85.33,76.00,10.43,8.00,91.29,84.71,84.00,91.67,25.29,20.14,14.57,18.29,6.14,7.71,4.14,4.71,0.57,1.14,0,0,91.04,95.14,90.06,91.34,94.75,83.21
400278888,0,-2,0.69,0.55,0.52,0.58,98.64,95.74,13.18,9.00,96.29,96.49,93.77,95.00,21.31,18.09,16.62,15.55,8.27,7.13,4.62,4.83,0.71,0.56,0,0,95.60,92.05,96.88,92.42,101.82,103.59
270205026,1,1,0.74,0.36,0.65,0.58,104.52,98.14,9.04,12.73,102.42,98.85,98.30,100.64,26.54,23.33,16.12,19.48,6.98,7.88,4.40,5.46,0.73,0.85,1,3,96.91,97.44,95.86,98.49,109.03,99.64
270205027,1,2,0.78,0.18,0.59,0.36,110.17,98.55,17.15,12.51,107.00,99.70,105.52,105.45,22.13,22.81,19.76,17.57,8.15,8.00,4.63,3.77,0.67,0.74,0,0,99.33,97.15,99.81,97.47,110.38,101.11
291111012,0,-1,0.40,0.33,0.38,0.43,96.20,94.33,14.88,12.00,98.62,94.14,102.80,96.33,23.00,24.43,13.75,17.71,8.38,8.00,7.62,6.00,0.88,0.43,0,1,98.46,96.54,97.75,99.98,98.41,94.35
240124005,1,2,0.53,0.41,0.33,0.44,94.68,90.95,-1.00,-1.00,91.12,89.19,92.74,92.32,21.26,20.70,4.86,5.35,7.12,8.77,6.38,4.12,0.45,0.58,0,0,111.51,108.86,110.02,108.99,86.06,83.45
291111015,1,1,1.00,0.67,0.60,0.75,99.00,101.33,11.60,17.75,90.40,106.88,86.00,98.50,23.40,22.25,20.80,17.25,8.40,7.88,3.20,4.50,0.60,0.62,0,5,97.32,98.78,96.64,97.06,102.44,104.40
291111016,0,-3,0.25,0.67,0.12,0.62,86.00,94.33,11.00,7.75,93.00,97.00,94.00,88.00,22.50,23.75,17.62,18.25,8.62,7.00,3.75,6.25,0.88,1.38,2,1,99.18,92.57,96.62,87.84,89.01,107.39
291111017,0,-1,0.00,0.33,0.00,0.43,85.00,109.33,10.86,16.86,87.71,101.86,101.00,111.67,22.29,19.86,14.43,15.71,6.29,8.86,5.29,5.00,0.29,0.86,0,0,96.62,96.59,96.28,98.27,88.28,111.25
